[2025-12-01 18:40:20] Directory traversal detected from 127.0.0.1 | Signature: ../
[2025-12-01 18:40:20] SQL injection detected from 127.0.0.1 | Signature: SELECT * FROM users
[2025-12-01 18:40:20] SQL injection attempt from 127.0.0.1 | Signature: admin'--
[2025-12-01 18:40:20] XSS attack detected from 127.0.0.1 | Signature: <script>
[2025-12-01 18:40:20] Directory traversal detected from 127.0.0.1 | Signature: ../
[2025-12-01 18:40:21] SQL injection detected from 127.0.0.1 | Signature: SELECT * FROM users
[2025-12-01 18:40:21] SQL injection attempt from 127.0.0.1 | Signature: admin'--
[2025-12-01 18:40:21] XSS attack detected from 127.0.0.1 | Signature: <script>
[2025-12-01 18:40:21] Directory traversal detected from 127.0.0.1 | Signature: ../
[2025-12-01 18:40:21] SQL injection detected from 127.0.0.1 | Signature: SELECT * FROM users
[2025-12-01 18:40:21] SQL injection attempt from 127.0.0.1 | Signature: admin'--
[2025-12-01 18:40:21] XSS attack detected from 127.0.0.1 | Signature: <script>
[2025-12-01 18:40:21] Directory traversal detected from 127.0.0.1 | Signature: ../
[2025-12-01 18:40:22] SQL injection detected from 127.0.0.1 | Signature: SELECT * FROM users
[2025-12-01 18:40:22] SQL injection attempt from 127.0.0.1 | Signature: admin'--
[2025-12-01 18:40:22] XSS attack detected from 127.0.0.1 | Signature: <script>
[2025-12-01 18:40:22] Directory traversal detected from 127.0.0.1 | Signature: ../
[2025-12-01 18:40:22] SQL injection detected from 127.0.0.1 | Signature: SELECT * FROM users
[2025-12-01 18:40:22] SQL injection attempt from 127.0.0.1 | Signature: admin'--
[2025-12-01 18:40:22] XSS attack detected from 127.0.0.1 | Signature: <script>
[2025-12-01 18:40:22] Directory traversal detected from 127.0.0.1 | Signature: ../
[2025-12-01 18:40:22] SQL injection detected from 127.0.0.1 | Signature: SELECT * FROM users
[2025-12-01 18:40:22] SQL injection attempt from 127.0.0.1 | Signature: admin'--
[2025-12-01 18:40:22] XSS attack detected from 127.0.0.1 | Signature: <script>
[2025-12-01 18:40:22] Directory traversal detected from 127.0.0.1 | Signature: ../
[2025-12-01 18:40:23] SQL injection detected from 127.0.0.1 | Signature: SELECT * FROM users
[2025-12-01 18:40:23] SQL injection attempt from 127.0.0.1 | Signature: admin'--
[2025-12-01 18:40:23] XSS attack detected from 127.0.0.1 | Signature: <script>
[2025-12-01 18:40:23] Directory traversal detected from 127.0.0.1 | Signature: ../
